ASPM : Airport Efficiency : Daily Configuration By Hour Report,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
From 5/1/2019 To 9/30/2019 ; Airport=IAD,,,,,,,,,,,,,,,,,,,,,,,,
Airport,Scheduled,Local,Scheduled,Scheduled,Actual,Actual,Actual,ADR+,Runway,Approach,Average,Average,Temp,Wind,Wind,Ceiling,Visibility,Airport,Airport,,,,,
,Departure,Hour,Departures,Arrivals,Departures,Arrivals,Total,Cap,Configuration,Condition,Taxi Out,Taxi In,(F),Dir,Speed,(100ft),(Stat,Weather,Weather,,,,,
IAD,5/2/2019,11,5,57,20,56,76,139,"19C, 19L, 19R | 30",VAC,18.44,5.26,80,0,0,250,10,,None,,,,,
IAD,5/2/2019,12,57,6,31,19,50,139,"19C, 19L, 19R | 30",VAC,22.19,5.87,82,210,6,999,10,,None,,,,,
IAD,5/2/2019,13,11,6,44,21,65,139,"19C, 19L, 19R | 30",VAC,32.56,6.58,82,190,9,40,10,-RA,Moderate,,,,,
IAD,5/2/2019,14,4,14,20,26,46,155,"19C, 19L, 19R | 19L, 30",IAC,25.75,5.6,69,200,7,27,2,+TSRA BR,Severe,,,,,
IAD,5/2/2019,15,7,40,5,4,9,160,"19C, 19L, 19R | 19L, 30",IAC,54.91,5.91,69,120,8,44,4,-RA BR,Moderate,,,,,
IAD,5/2/2019,16,11,58,18,36,54,160,"19C, 19L, 19R | 19L, 30",VAC,35.89,7.37,73,140,5,65,10,,None,,,,,
IAD,5/2/2019,17,85,4,17,28,45,160,"19C, 19L, 19R | 19L, 30",VAC,35.07,7,71,170,6,70,10,,None,,,,,
IAD,5/2/2019,18,12,11,37,54,91,160,"19C, 19L, 19R | 19L, 30",VAC,25.55,7.25,71,70,6,80,10,,None,,,,,
IAD,5/2/2019,19,12,10,60,32,92,160,"19C, 19L, 19R | 19L, 30",VAC,23.08,8.08,66,130,5,80,10,,None,,,,,
IAD,5/2/2019,20,4,21,40,20,60,160,"19C, 19L, 19R | 19L, 30",VAC,17.75,5.92,66,130,5,80,10,,None,,,,,
IAD,5/2/2019,21,1,40,13,23,36,160,"19C, 19L, 19R | 19L, 30",VAC,20.33,6.8,66,0,0,150,7,,None,,,,,
IAD,5/2/2019,22,45,4,29,23,52,160,"19C, 19L, 19R | 19L, 30",VAC,17.51,5.63,66,0,0,150,7,,None,,,,,
IAD,5/2/2019,23,1,7,18,18,36,160,"19C, 19L, 19R | 19L, 30",VAC,17.2,7.44,64,0,0,150,9,MIFG,Moderate,,,,,
