location,Basel,Basel,Basel,Basel
lat,47.54694,47.54694,47.54694,47.54694
lon,7.56892,7.56892,7.56892,7.56892
asl,283.697,283.697,283.697,283.697
variable,Temperature,Relative Humidity,Wind Speed,Wind Direction
unit,°F,%,km/h,°
level,2 m elevation corrected,2 m,10 m,10 m
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,Basel Temperature [2 m elevation corrected],Basel Relative Humidity [2 m],Basel Wind Speed [10 m],Basel Wind Direction [10 m]
20210618T1600,88.44895,40.0,10.966713,293.1986
20210618T1700,85.53294,46.0,13.5515,286.99084
20210618T1800,84.68695,49.0,16.75064,278.65253
20210618T1900,82.59895,52.0,14.332341,281.59216
20210618T2000,80.816956,56.0,10.495713,275.90616
20210618T2100,78.62096,61.0,5.937272,255.96376
20210618T2200,76.83895,65.0,4.5536795,198.43495
20210618T2300,75.21895,68.0,5.8048253,172.87498
20210619T0000,73.59895,71.0,5.4119864,176.18593
20210619T0100,72.60895,72.0,4.6800003,157.38013
20210619T0200,71.42095,73.0,3.5455887,156.0375
20210619T0300,70.05295,72.0,3.7064266,150.94539
20210619T0400,68.82895,70.0,4.1046314,142.12502
20210619T0500,68.27095,68.0,4.1046314,127.874985
20210619T0600,69.08095,68.0,4.0249224,116.56505
20210619T0700,72.91495,65.0,7.628263,109.29004
20210619T0800,77.34295,60.0,9.9571085,102.52881
20210619T0900,81.24895,54.0,12.015589,98.61565
20210619T1000,83.66095,48.0,14.561099,98.53076
20210619T1100,85.33495,47.0,17.026896,103.44861
20210619T1200,86.70296,44.0,18.59845,104.57421
20210619T1300,88.53895,40.0,11.159999,89.99999
20210619T1400,89.834946,38.0,12.144331,101.97613
20210619T1500,90.41095,37.0,13.009903,104.42077
20210619T1600,90.446945,39.0,14.512064,113.385216
20210619T1700,90.068954,41.0,14.77755,124.077194
20210619T1800,89.56496,43.0,14.480773,124.87533
20210619T1900,88.44895,45.0,11.983188,122.73523
20210619T2000,86.45095,50.0,9.504272,127.30394
20210619T2100,83.15695,60.0,10.195057,137.8624
20210619T2200,78.63895,70.0,6.6087217,150.64224
20210619T2300,75.704956,72.0,8.12197,167.19574
20210620T0000,74.85895,71.0,7.729527,207.75854
20210620T0100,73.90495,77.0,10.365251,159.67686
20210620T0200,74.44495,68.0,9.659814,153.43495
20210620T0300,70.66495,70.0,6.9247384,152.10272
20210620T0400,69.926956,73.0,2.968636,104.03624
20210620T0500,68.36095,80.0,4.510787,61.38954
20210620T0600,69.31496,80.0,4.2136917,340.0169
20210620T0700,72.51895,76.0,8.473393,282.26477
20210620T0800,75.362946,62.0,7.24486,243.43495
20210620T0900,76.83895,57.0,7.729527,117.75854
20210620T1000,76.874954,53.0,15.542662,166.6075
20210620T1100,74.48095,63.0,20.746122,128.6598
20210620T1200,80.87096,53.0,19.386593,121.32869
20210620T1300,85.64095,41.0,20.418695,99.13017
20210620T1400,87.02695,40.0,21.626984,92.862404
20210620T1500,85.08295,45.0,14.759999,77.31962
20210620T1600,78.76495,56.0,21.980644,328.39252
20210620T1700,67.55095,90.0,43.63283,326.44104
20210620T1800,68.64896,84.0,7.5170207,253.30075
20210620T1900,69.206955,84.0,4.510787,298.61047
20210620T2000,68.55895,86.0,3.396233,32.005356
20210620T2100,67.96495,87.0,5.4119864,86.18592
20210620T2200,67.73095,88.0,5.4833565,113.19859
20210620T2300,67.47895,88.0,5.8603754,132.51044
20210621T0000,67.262955,89.0,4.5820518,135.0
20210621T0100,66.344955,91.0,4.0249224,116.56505
20210621T0200,66.12895,84.0,18.175545,277.9696
20210621T0300,62.00695,84.0,8.12197,257.19574
20210621T0400,61.52095,84.0,3.8773184,158.1986
20210621T0500,62.13295,84.0,7.2,126.869896
20210621T0600,63.55495,84.0,6.489992,109.44003
20210621T0700,65.96695,80.0,4.829907,116.56505
20210621T0800,68.72095,75.0,1.4399999,89.99999
20210621T0900,71.096954,71.0,1.1384199,71.56504
20210621T1000,73.13095,67.0,1.835647,78.69006
20210621T1100,75.27295,62.0,1.08,89.99999
20210621T1200,77.306946,57.0,1.4399999,89.99999
20210621T1300,80.94295,40.0,1.484318,345.96375
20210621T1400,81.98695,38.0,1.0182338,44.999985
20210621T1500,82.36495,37.0,3.4152596,108.434944
20210621T1600,80.38495,41.0,4.510787,208.61046
20210621T1700,79.98895,43.0,5.6233797,219.80557
20210621T1800,78.458954,45.0,4.5536795,198.43495
20210621T1900,77.846954,46.0,4.73506,188.74615
20210621T2000,76.622955,48.0,4.0249224,169.69516
20210621T2100,76.08295,48.0,4.8433046,131.98721
20210621T2200,73.58095,58.0,7.386582,136.97493
20210621T2300,68.306946,68.0,8.825508,168.2317
20210622T0000,66.56095,70.0,7.342588,168.69006
20210622T0100,64.526955,75.0,6.8399997,180.0
20210622T0200,63.48295,75.0,6.638072,167.47119
20210622T0300,63.42895,75.0,6.638072,139.3987
20210622T0400,62.88895,76.0,5.3999996,143.1301
20210622T0500,62.078953,79.0,2.5455842,135.0
20210622T0600,62.74495,78.0,1.484318,345.96375
20210622T0700,65.55295,73.0,2.0991426,329.03625
20210622T0800,69.27895,68.0,2.16,270.0
20210622T0900,69.458954,66.0,22.461807,276.4416
20210622T1000,69.33295,61.0,23.087763,280.7843
20210622T1100,70.77295,54.0,18.057508,274.5739
20210622T1200,72.69895,50.0,16.75064,278.65253
20210622T1300,69.80095,64.0,17.193533,289.57312
20210622T1400,69.49495,64.0,16.854767,289.98312
20210622T1500,69.926956,64.0,14.241629,286.14435
20210622T1600,70.62895,62.0,9.693296,291.8014
20210622T1700,71.42095,59.0,6.989936,304.50854
20210622T1800,71.456955,58.0,5.0142193,291.0375
20210622T1900,71.02495,58.0,5.991594,327.26477
20210622T2000,69.98095,60.0,6.9247384,332.10272
20210622T2100,68.09096,66.0,8.905908,345.96375
20210622T2200,66.09296,74.0,7.5170207,343.30075
20210622T2300,64.454956,80.0,6.989936,325.4915
20210623T0000,63.19495,85.0,6.193674,324.46234
20210623T0100,62.474953,88.0,3.319036,319.3987
20210623T0200,61.844948,90.0,2.6208394,344.0546
20210623T0300,61.12495,92.0,4.6938252,274.3987
20210623T0400,60.224953,94.0,6.489992,266.8202
20210623T0500,59.99095,94.0,6.12,270.0
20210623T0600,60.42295,93.0,5.506941,281.30994
20210623T0700,62.510952,87.0,4.8965297,306.02737
20210623T0800,63.69895,86.0,6.696387,323.74615
20210623T0900,64.724945,83.0,9.826088,331.55707
20210623T1000,65.318954,78.0,9.793058,342.89728
20210623T1100,67.78495,70.0,9.6932955,344.93152
20210623T1200,68.43295,67.0,9.028754,355.4261
20210623T1300,76.010956,52.0,8.12197,12.804245
20210623T1400,74.64295,53.0,6.6185193,22.380127
20210623T1500,74.12096,54.0,4.3349743,4.7636414
20210623T1600,73.16695,56.0,7.342588,348.69006
20210623T1700,71.61895,59.0,9.227524,339.44397
20210623T1800,69.53095,70.0,12.24,331.92752
20210623T1900,65.94895,82.0,13.276144,319.3987
20210623T2000,64.07695,90.0,11.246759,320.19443
20210623T2100,62.94295,94.0,11.183201,326.82147
20210623T2200,61.808952,95.0,10.829959,344.57782
20210623T2300,61.05295,96.0,8.759178,350.5377
20210624T0000,60.94495,95.0,7.9932966,324.16235
20210624T0100,60.74695,96.0,8.942214,319.8991
20210624T0200,60.56695,96.0,9.220499,321.3402
20210624T0300,60.278954,96.0,8.913181,313.36343
20210624T0400,59.88295,96.0,8.404285,316.73572
20210624T0500,59.70295,96.0,7.8954163,316.8476
20210624T0600,59.81095,95.0,7.653705,318.8141
20210624T0700,60.260952,94.0,7.7043357,307.40536
20210624T0800,61.502953,90.0,7.9932966,305.83765
20210624T0900,63.572952,85.0,10.739832,309.5597
20210624T1000,63.10495,83.0,7.653705,311.1859
20210624T1100,64.02295,77.0,3.9763298,354.8056
20210624T1200,66.74095,71.0,7.42159,284.03625
20210624T1300,70.77295,62.0,11.435313,298.1786
20210624T1400,68.07295,65.0,13.556282,280.71313
20210624T1500,66.63295,68.0,12.959999,270.0
20210624T1600,66.596954,66.0,13.084402,262.09283
20210624T1700,66.86695,58.0,22.206486,250.09625
20210624T1800,66.61495,59.0,18.86139,246.37064
20210624T1900,66.21895,64.0,15.39184,259.2157
20210624T2000,64.112946,70.0,15.546833,264.68546
20210624T2100,62.690952,74.0,10.464797,243.43495
20210624T2200,61.808952,76.0,9.360001,247.38014
20210624T2300,61.142952,78.0,10.495713,247.83365
20210625T0000,60.38695,78.0,11.165805,249.22775
20210625T0100,58.820953,81.0,11.119281,240.9454
20210625T0200,58.04695,81.0,11.4862,237.80426
20210625T0300,57.848953,81.0,10.315115,240.75117
20210625T0400,57.75895,83.0,10.30883,245.22485
20210625T0500,58.550953,85.0,10.137692,253.49564
20210625T0600,59.738953,84.0,9.726665,267.8789
20210625T0700,61.862953,77.0,12.979984,273.17984
20210625T0800,63.55495,69.0,14.417988,272.8624
20210625T0900,63.53695,68.0,13.004921,265.23636
20210625T1000,66.362946,64.0,11.013882,258.69006
20210625T1100,65.35495,65.0,10.390226,255.96376
20210625T1200,66.650955,61.0,9.0,270.0
20210625T1300,65.53495,66.0,11.631956,291.8014
20210625T1400,68.000946,62.0,9.360001,292.61987
20210625T1500,69.18895,59.0,5.95906,295.0169
20210625T1600,69.62096,56.0,5.04,270.0
20210625T1700,69.11695,57.0,6.130579,273.36646
20210625T1800,68.66695,56.0,4.802999,282.99463
20210625T1900,68.12695,57.0,2.5455842,278.1301
20210625T2000,67.06496,59.0,0.35999998,270.0
20210625T2100,66.27295,59.0,2.6208394,105.9454
20210625T2200,65.12096,63.0,4.829907,116.56505
20210625T2300,62.510952,72.0,6.638072,130.60129
20210626T0000,58.96495,82.0,6.489992,146.30994
20210626T0100,57.290955,84.0,5.6233797,140.19443
20210626T0200,56.030952,86.0,4.8433046,131.98721
20210626T0300,54.53695,90.0,5.495161,121.6075
20210626T0400,53.582954,93.0,7.729527,117.75854
20210626T0500,53.222954,92.0,8.707237,119.74488
20210626T0600,55.49095,85.0,9.178235,115.55997
20210626T0700,59.918953,79.0,14.007655,115.90651
20210626T0800,63.23095,75.0,15.844089,111.31791
20210626T0900,66.63295,69.0,14.578888,110.22486
20210626T1000,69.62096,60.0,13.450708,105.5241
20210626T1100,71.96095,54.0,9.779817,96.34019
20210626T1200,73.99495,49.0,8.287822,87.510445
20210626T1300,76.010956,43.0,7.6367526,81.869896
20210626T1400,77.37895,39.0,6.151683,69.443954
20210626T1500,78.224945,36.0,5.3999996,53.130096
20210626T1600,78.566956,36.0,6.151683,69.443954
20210626T1700,78.78294,35.0,6.830519,71.56504
20210626T1800,78.458954,36.0,8.12197,77.19573
20210626T1900,77.55895,37.0,8.4042845,80.134186
20210626T2000,75.596954,45.0,7.42159,75.96376
20210626T2100,73.02295,56.0,7.2359104,84.289406
20210626T2200,70.16095,67.0,6.0347,107.35402
20210626T2300,67.85695,72.0,4.6102495,141.34018
20210627T0000,66.650955,68.0,3.2599385,173.6598
20210627T0100,65.49895,65.0,3.5455887,156.0375
20210627T0200,64.400955,67.0,5.0911684,135.0
20210627T0300,63.82495,69.0,7.5942082,121.429565
20210627T0400,61.34095,73.0,10.495713,120.96376
20210627T0500,58.96495,83.0,11.609651,119.74488
20210627T0600,62.67295,77.0,15.646544,113.02549
20210627T0700,66.30895,72.0,17.782688,111.37062
20210627T0800,69.99895,65.0,18.792551,110.17065
20210627T0900,74.28295,55.0,18.455048,110.556046
20210627T1000,77.41495,53.0,17.076298,108.434944
20210627T1100,80.38495,51.0,16.676977,103.73626
20210627T1200,82.958954,46.0,14.332341,101.59217
20210627T1300,82.07695,43.0,9.6932955,74.9315
20210627T1400,82.92295,40.0,9.605998,77.00538
20210627T1500,84.00295,40.0,10.086427,87.95459
20210627T1600,84.650955,40.0,11.183201,93.69138
20210627T1700,84.63295,39.0,11.966953,96.911224
20210627T1800,84.20095,40.0,11.542478,93.576324
20210627T1900,82.23895,45.0,6.8399997,89.99999
20210627T2000,81.05095,51.0,1.8,360.0
20210627T2100,79.82695,55.0,6.489992,33.690063
20210627T2200,77.41495,62.0,4.32,89.99999
20210627T2300,75.79495,66.0,5.7599998,180.0
20210628T0000,73.29295,63.0,4.802999,192.99461
20210628T0100,71.456955,61.0,4.1046314,164.74487
20210628T0200,70.89896,59.0,4.1046314,142.12502
20210628T0300,69.96295,59.0,4.6938257,122.47119
20210628T0400,68.46895,59.0,6.792466,122.00538
20210628T0500,67.29895,59.0,9.085988,123.69006
20210628T0600,67.19095,64.0,11.983188,122.73523
20210628T0700,71.29495,70.0,14.84318,112.83366
20210628T0800,75.61495,69.0,14.118243,109.35899
20210628T0900,79.37695,59.0,11.525623,104.47029
20210628T1000,81.734955,54.0,10.538843,97.85332
20210628T1100,83.930954,50.0,8.4042845,99.86581
20210628T1200,85.74895,45.0,4.68,89.99999
20210628T1300,83.17495,46.0,3.671294,348.69006
20210628T1400,84.21895,45.0,4.5536795,341.56506
20210628T1500,85.24495,45.0,7.491114,324.7824
20210628T1600,83.58895,46.0,18.837324,315.0
20210628T1700,81.77095,49.0,14.003028,316.04163
20210628T1800,77.93695,61.0,19.966211,295.64102
20210628T1900,73.18495,67.0,21.924562,299.5115
20210628T2000,70.01695,76.0,17.429354,308.29016
20210628T2100,68.03695,81.0,14.003028,313.95837
20210628T2200,65.73295,90.0,13.513193,318.2397
20210628T2300,64.92295,93.0,12.074766,349.69516
20210629T0000,64.112946,92.0,8.854829,333.43497
20210629T0100,63.48295,94.0,6.830519,18.434952
20210629T0200,63.37495,93.0,2.7416782,246.8014
20210629T0300,62.276955,95.0,5.4119864,273.8141
20210629T0400,61.75495,94.0,1.609969,243.43495
20210629T0500,61.916954,93.0,3.8773184,201.8014
20210629T0600,63.086952,87.0,5.3517847,160.34618
20210629T0700,65.39095,78.0,10.365251,110.323135
20210629T0800,67.46095,72.0,12.074766,100.30484
20210629T0900,69.72895,68.0,9.746631,94.23639
20210629T1000,72.23095,64.0,6.193674,54.46232
20210629T1100,70.46695,70.0,13.746156,315.0
20210629T1200,69.80095,68.0,14.84318,292.83368
20210629T1300,66.56095,79.0,19.770523,280.4915
20210629T1400,65.66095,79.0,25.210283,271.6366
20210629T1500,65.87695,70.0,21.707731,264.28943
20210629T1600,65.64295,71.0,21.485697,278.67316
20210629T1700,66.50695,67.0,19.06301,280.88553
20210629T1800,65.69695,67.0,18.94024,278.74615
20210629T1900,65.012955,66.0,16.394829,278.84183
20210629T2000,63.82495,69.0,12.661564,284.82648
20210629T2100,62.564953,70.0,13.627795,282.20047
20210629T2200,60.278954,76.0,16.394829,289.23068
20210629T2300,58.60495,83.0,10.30883,294.77515
20210630T0000,57.794952,81.0,16.071491,285.59283
20210630T0100,55.328953,87.0,14.05845,272.93567
20210630T0200,54.28495,85.0,10.661107,258.31064
20210630T0300,53.40295,83.0,9.422101,226.54816
20210630T0400,52.250954,80.0,11.525623,231.3402
20210630T0500,52.66495,77.0,9.339208,207.55281
20210630T0600,55.472954,71.0,9.504273,204.62357
20210630T0700,57.45295,68.0,11.090103,234.24612
20210630T0800,61.12495,67.0,17.654686,253.41266
20210630T0900,59.828953,75.0,26.200977,257.3004
20210630T1000,61.68295,71.0,26.183659,251.56506
20210630T1100,62.85295,68.0,24.72495,253.94002
20210630T1200,64.23895,64.0,23.623243,262.11688
20210630T1300,65.21095,61.0,18.584509,261.08508
20210630T1400,65.66095,59.0,17.462784,261.70285
20210630T1500,65.624954,60.0,18.0,270.0
20210630T1600,65.19295,62.0,18.416384,274.48462
20210630T1700,65.13895,65.0,17.015474,276.07245
20210630T1800,64.74295,66.0,17.673029,266.49646
20210630T1900,62.348953,77.0,21.26744,267.08917
20210630T2000,61.16095,85.0,17.873556,279.27258
20210630T2100,59.90095,86.0,14.440443,274.28915
20210630T2200,59.19895,89.0,9.36,270.0
20210630T2300,56.78695,80.0,16.454008,259.9194
20210701T0000,56.24695,80.0,12.9249525,257.125
