HDR,FORECAST DAY AND DAY AHEAD DEMAND DATA
DANF,20210929,1,N,20210928224500,21370
DANF,20210929,2,N,20210928231500,20784
DANF,20210929,3,N,20210928234500,20380
DANF,20210929,4,N,20210929001500,20100
DANF,20210929,5,N,20210929004500,19564
DANF,20210929,6,N,20210929011500,19263
DANF,20210929,7,N,20210929014500,18967
DANF,20210929,8,N,20210929021500,18731
DANF,20210929,9,N,20210929021500,18700
DANF,20210929,10,N,20210929021500,18735
DANF,20210929,11,N,20210929021500,19506
DANF,20210929,12,N,20210929021500,20552
DANF,20210929,13,N,20210929021500,22980
DANF,20210929,14,N,20210929021500,25266
DANF,20210929,15,N,20210929021500,27623
DANF,20210929,16,N,20210929021500,28774
DANF,20210929,17,N,20210929021500,29240
DANF,20210929,18,N,20210929021500,28825
DANF,20210929,19,N,20210929021500,28580
DANF,20210929,20,N,20210929021500,27832
DANF,20210929,21,N,20210929021500,27246
DANF,20210929,22,N,20210929021500,26588
DANF,20210929,23,N,20210929021500,26442
DANF,20210929,24,N,20210929021500,26485
DANF,20210929,25,N,20210929021500,26680
DANF,20210929,26,N,20210929021500,26435
DANF,20210929,27,N,20210929021500,26099
DANF,20210929,28,N,20210929021500,25928
DANF,20210929,29,N,20210929021500,25971
DANF,20210929,30,N,20210929021500,25820
DANF,20210929,31,N,20210929021500,26120
DANF,20210929,32,N,20210929021500,27372
DANF,20210929,33,N,20210929021500,28738
DANF,20210929,34,N,20210929021500,30460
DANF,20210929,35,N,20210929021500,31867
DANF,20210929,36,N,20210929021500,33000
DANF,20210929,37,N,20210929021500,33620
DANF,20210929,38,N,20210929021500,34536
DANF,20210929,39,N,20210929021500,35000
DANF,20210929,40,N,20210929021500,34717
DANF,20210929,41,N,20210929021500,34183
DANF,20210929,42,N,20210929021500,32887
DANF,20210929,43,N,20210929021500,31338
DANF,20210929,44,N,20210929021500,29450
DANF,20210929,45,N,20210929021500,27676
DANF,20210929,46,N,20210929021500,25886
DANF,20210929,47,N,20210929021500,23956
DANF,20210929,48,N,20210929021500,22560
DANF,20210930,1,N,20210929021500,21500
DANF,20210930,2,N,20210929021500,20719
DANF,20210930,3,N,20210929021500,20470
